ANO_ELEICAO,ZONA,NUMERO_LOCAL_VOTACAO,LOCAL_VOTACAO,BAIRRO
2018,186,1147,ESCOLA MUNICIPAL SEVERO RIBEIRO DE CAMARGO,SAO DIMAS
2018,186,1120,ESCOLA RURAL MUNICIPAL IMBUIAL DA ROSEIRA,ROSEIRA
2018,186,1082,FACULDADE EDUCACIONAL DE COLOMBO - FAEC,RIO VERDE
2018,186,1171,SALAO DA PAROQUIA DE COLONIA FARIA,COLONIA FARIA
2020,49,1341,CAIC- ESCOLA MUNICIPAL PEDRO VIRIATO PARIGOT DE SOUZA,SAO GABRIEL
2020,49,1317,CENTRO MUNICIPAL DE EDUCACAO INFANTIL ESPACO DA CRIANCA,CENTRO
2020,49,1457,COLEGIO ESTADUAL ALFREDO CHAVES,RIO VERDE
2020,49,1066,COLEGIO ESTADUAL BENTO MUNHOZ DA ROCHA NETTO,ROCA GRANDE
2020,49,1082,COLEGIO ESTADUAL DOM JOAO BOSCO,ROCA GRANDE
2020,49,1414,COLEGIO ESTADUAL HELENA KOLODY,MONZA
2020,49,1406,COLEGIO ESTADUAL JOAO RIBEIRO DE CAMARGO,SAO GABRIEL
2020,49,1180,COLEGIO ESTADUAL PRESIDENTE ABRAHAN LINCOLN,CENTRO
2020,49,1392,COLEGIO ESTADUAL TANCREDO DE ALMEIDA NEVES,ARRUDA
2020,49,1015,COLEGIO PASSIONISTA ROSARIO,CENTRO
2020,49,1465,ESCOLA MUNICIPAL AGRIPINO JOAO TOSIN,RIO VERDE
2020,49,1031,ESCOLA MUNICIPAL ANDRE NADOLNY,SAO GABRIEL
2020,49,1430,ESCOLA MUNICIPAL ANTONIO ANDRE JOHNSSON,MONZA
2020,49,1252,ESCOLA MUNICIPAL CARLOS FONTOURA FALAVINHA,SAO GABRIEL
2020,49,1287,ESCOLA MUNICIPAL CRISTOVAO COLOMBO,CENTRO
2020,49,1325,ESCOLA MUNICIPAL ELVIRA NODARI ALBERTI,ROCA GRANDE
2020,49,1201,ESCOLA MUNICIPAL GABRIEL D ANUNCIO STRAPASSON,OSASCO
2020,49,1104,ESCOLA MUNICIPAL IRMA MARIA ANTONIETA FARANI,CAPIVARI
2020,49,1376,ESCOLA MUNICIPAL ISOLINA CECCON,ARRUDA
2020,49,1350,ESCOLA MUNICIPAL JARDIM DAS FLORES,ROCA GRANDE
2020,49,1422,ESCOLA MUNICIPAL JOHN KENNEDY,CAMPO PEQUENO
2020,49,1139,ESCOLA MUNICIPAL JUSCELINO KUBITSCHECK,ARRUDA
2020,49,1449,ESCOLA MUNICIPAL NOSSA SENHORA DE FATIMA,FATIMA
2020,49,1198,ESCOLA MUNICIPAL PRESIDENTE CASTELO BRANCO,CAMPO PEQUENO
2020,49,1368,ESCOLA MUNICIPAL SANTA FE,SAO GABRIEL
2020,49,1384,ESCOLA MUNICIPAL VITORIO MANOEL FRANCESCHI,ROCA GRANDE
2020,49,1171,ESCOLA RURAL MUNICIPAL JOAO JOSE GASPARIN,POCO NEGRO
2020,186,1341,COLEGIO ESTADUAL GENESIO MORESCHI,GUARAITUBA
2020,186,1368,COLEGIO ESTADUAL GUARAITUBA,GUARAITUBA
2020,186,1279,COLEGIO ESTADUAL HERACLITO FONTOURA SOBRAL PINTO,MARACANA
2020,186,1287,COLEGIO ESTADUAL LUIZ SEBASTIAO BALDO,PALOMA
2020,186,1155,COLEGIO ESTADUAL PROFESSOR PLINIO ALVES MONTEIRO TOURINHO,ATUBA
2020,186,1112,COLEGIO ESTADUAL VEREADOR RAULINO COSTACURTA,MARACANA
2020,186,1350,COLEGIO ESTADUAL VINICIUS DE MORAES,SAO DIMAS
2020,186,1066,ESCOLA MUNICIPAL ANGELO FALAVINHA DALPRA,GUARAITUBA
2020,186,1325,ESCOLA MUNICIPAL ANTONIO CAVASSIN,MARACANA
2020,186,1333,ESCOLA MUNICIPAL ARLINDO ANDRETTA,ATUBA
2020,186,1260,ESCOLA MUNICIPAL BARAO DO MAUA,MAUA
2020,186,1376,ESCOLA MUNICIPAL DOUTORA ZILDA ARNS NEUMANN,PALMITAL
2020,186,1198,ESCOLA MUNICIPAL DR MANOEL COSTACURTA,ATUBA
2020,186,1228,ESCOLA MUNICIPAL HEITOR VILLA LOBOS,MARACANA
